,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
48448,2023 North Regional Pond,2023 NRP MStyp5,449,2023 NRP MC01,83,2023 NRP FS01,10,2023 NRP Hatchling,0,2023 NRP Nestling,8,2023 NRP FC06,126,3/31/2023,6/2/2023,4/7/2023,4/23/2023,4/23/2023,5/5/2023,12,5/15/2023,10,5/30/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 NRP Insect sp30-02,0,2023 NRP Insect sp31-01,0,2023 NRP Insect sp32-02,0,2023 NRP Insect sp33-08,0,2023 NRP PTF01,5,,,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"The ARU was placed prior to Settlement. Vocalizations were detected infrequently in the recordings, and breeding-stage dates are therefore approximate. The breeding attempt was classified as Successful based on the presence of Fledgling Begging Calls.",,"There was one very small bout. There was hardly any Male Chorus, with a stutter start 7-Apr and 8-APr but it was not followed by Female Chatter. The second bout of Male Chorus was extremely short, and likely only a few males remained. Only a handful of Nestling Begging Calls are detected, and there is a period of time where no Nestling Begging Calls are detected, but it is followed by some Fledgling Begging Calls that are timed such that these are likely the Fledglings from this colony. So while the bulk of birds did not Settle, there were a handful that did and successfully fledged young.",NEED,150,"Mustard, milk thistle",NEED,Yolo,Robert Meese,,,Central Sacramento Valley,2023 North Regional Pond,,,4520,38.6639,-121.7120,10,,
48397,2023 OR Dizney Rd,2023 OR Dizney Rd MS04,736,2023 OR Dizney MC01,303,2023 OR Dizney Rd FS01,286,2023 OR Dizney Hatchling,0,2023 OR Dizney Nestling,18,2023 OR Dizney Rd FC06,19,4/29/2023,7/15/2023,pre,5/13/2023,5/7/2023,5/19/2023,6,~6/3/2023,15,6/7/2023,5/25/2023P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 OR DR Insect sp30-02,0,2023 OR DR Insect sp31-01,0,2023 OR DR Insect sp32-02,0,2023 OR DR Insect sp33-08,0,2023 OR DR PTF01,4,2023 OR DR PTF,32,,,,,,,,Simple,,Partially Abandoned,n/a,n/a,n/a,"Detections of Female Chatter and Nestling Begging Calls indicate that a breeding attempt was initiated and progressed into Brooding. The ARI score for this breeding attempt was 0.124, corresponding to classification as Partially Abandoned. Brooding began on 19 May and was temporally coincident with a period of elevated temperatures from 19–21 May and rainfall from 20–21 May, conditions that may have contributed to the Partial Abandonment. A small fraction of recordings contained Fledgling Begging Call detections, indicating that some young successfully left the nest and that the outcome was not complete Abandonment. Recordings from 7–8 May were excluded from analysis because they were rendered unusable after the ARU became wet.",,"Recordings were faint, but usable. First round of birds started inc on 5/7, then second addition came in on 5/10. First birds would have hatched at ~5/18 (works), then second addition would have hatched ~5/23. 2nd round was much larger, their fledge date would have been ~6/3 (works). So there is one messy pulse of breeding that had an addition after first set started incubating. This results in nestlings being heard only a few days after the last Male Chorus.The FC was never impressive, but there was a large drop in vocalizations on 6/4, so this was picked as the FD.",4m,75-100,"Cattails, Himalayan blackberry","An old irrigation pond that still gets water even though the surrounding farmland hasn't been farmed in many years. The surrounding area is green and vibrant in the spring but bakes yellow once summer arrives.  Photos were taken showing north, south, east, and west views. The ARU was placed on a metal fence post bordering the road on the south side of the colony.",Jefferson,"Charles Gates, Ken Hashagen","cgates326@gmail.com, khashagen@outlook.com",,Oregon,2023 Oregon State - Dizney Rd,,,5551,44.7227,-121.2380,481,,Y
48392,2023 OR Eureka Rd,2023 OR ER MS04,407,2023 OR Eureka MC01,0,2023 OR ER FS01,85,2023 OR Eureka Hatchling,1,2023 OR Eureka Nestling,96,2023 OR Eureka Rd FC06,192,4/29/2023,7/24/2023,ND,ND,5/7/2023,5/19/2023,ND,5/30/2023,11,6/10/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 OR ER Insect sp30-02,0,2023 OR ER Insect sp31-01,0,2023 OR ER Insect sp32-02,0,2023 OR ER Insect sp33-08,133,2023 OR ER PTF01,79,,,,,,,,,Y,Asynchronous,,Successful,n/a,n/a,n/a,"Male Song detections were present; however, temporal overlap among songs was insufficient to produce the overlapping vocalizations characteristic of a sustained Male Chorus, and no Male Chorus detections were recorded. Female Chatter detections persisted beyond the onset of Begging Calls, and Nestling Begging Call detections were distributed over an extended period, together supporting classification of this colony as Asynchronous. Recordings containing Fledgling Begging Calls were detected over an extended interval, indicating that young successfully left the nest.",,"There was a very long tail to the start of young nestlings, and there never seemed to be a male chorus. Are OR birds different in this reguard? Because there was no MC, the incubation start is just an approximations based on the first hatchings heard. There is also a long tail to the ONC. FD was assigned on the first set where I saw several recordings with strident ONCs with a subsequent disapperance. though ONC is heard consistently through July. Because this was a difficult site and a mini manual analysis was performed.",10m,100,"Cattails, Himalayan blackberry",Farm pond covered with cattails and a little open water. The ARU was placed on a power pole between the road and the marsh facing south.,Jefferson,"Charles Gates, Ken Hashagen","cgates326@gmail.com, khashagen@outlook.com",,Oregon,2023 Oregon State - Eureka Lane,,,6196,44.5783,-121.1940,769,,
48445,2023 OR Prineville North,2023 OR PN MS04,1622,2023 OR PN MC01,156,2023 OR PN FS01,352,2023 OR PN Hatchling,66,2023 OR PN Nestling,582,2023 OR PN FC06,54,4/29/2023,7/15/2023,ND,ND,5/3/2023,5/15/2023,ND,5/26/2023,11,5/28/2023,ND,6/3/2023,6/11/2023,6/9/2023,6/21/2023,10,7/6/2023,15,7/11/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 OR PN Insect sp30-02,0,2023 OR PN Insect sp31-01,9,2023 OR PN Insect sp32-02,53,2023 OR PN Insect sp33-08,0,2023 OR PN PTF01,245,2023 OR PN PTF,1260,,,,,,,,Sequential,,Successful,Successful,n/a,n/a,"Two temporally distinct breeding attempts were detected, separated by an interval of approximately 30 days, consistent with classification as a Sequential colony. Given fixed recorder placement and a stable colony footprint, the higher detection rate of nestling begging calls in the first attempt suggests greater nestling presence near the recorder relative to the second attempt. Recordings containing Fledgling Begging Calls were detected for both attempts, and both were therefore classified as Successful.",,"There was no real Male Chorus. I only located a couple of recordings on June 7th that had chorus. There should have been a signature for the first round as the recorder was placed early enough, but maybe these birds are different. Unable to tell date of 1st Fled dispersal due to overlapping pulses, but there is a sig drop after 5/27, though this is only 13 days from HD. p2f hard to calculate as machinery gets in the way, but 7/4 seems reasonable. Al the dates for the OR groupps should be checked again and given more time. There is just something different about the lot. Also hearing YNC on ",5m,50-75,Cattails,Cattail marsh surrounded by pasture land.  The ARU was placed on a fence post next to the marsh on the south end.  ,Crook,"Charles Gates, Ken Hashagen","cgates326@gmail.com, khashagen@outlook.com",,Oregon,2023 Oregon State - Prineville Grimes Rd,,,5544,44.3649,-120.9190,888,,Y
48796,2023 Panoche Creek Preserve - Corrals NW,2023 PCP NW MStyp5,101,2023 PCP Corrals NW MC01,0,2023 PCP NW FS01,132,2023 PCP NW Hatchling,28,2023 PCP NW Nestling,139,2023 PCP NW FC06,21,4/29/2023,6/12/2023,pre,pre,pre,"before start, HBC present",ND,5/8/2023,ND,5/15/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 PCP NW Insect sp30-02,0,2023 PCP NW Insect sp31-01,8,2023 PCP NW Insect sp32-02,20,2023 PCP NW Insect sp33-08,3,2023 PCP NW PTF01,313,,,,,,,,,,Simple,,Successful,n/a,n/a,n/a,The dataset is considered a duplicate of the 2023 Panoche Creek Preserve - Corrals SE.,"The dataset is considered a duplicate of the 2023 Panoche Creek Preserve - Corrals SE. Hatchling Begging Calls were detected on the first day of deployment, indicating that Brooding had just begun. Field observations confirmed extremely young hatchlings and nests located unusually close to the ground. Acoustic patterns showed a typical sequence through Fledging and Dispersal.","nestlings were heard on the very first day recorder was placed, however they were extremely young and at most a day or two old. Fledging date chosen as date when multiple of the fuzzy nestling calls are seen in pattern matching job.",NEED,400-500,"Fiddleneck, cheeseweed, London rocket, and Chilean chess",See Panoche Creek Preserve - Corrals SE.,San Benito,Ben Teton,bteton@cnlm.org,,CNLM,2023 Panoche Creek Preserve - Corrals North West,Dupe,2023 Panoche Creek Preserve - Corrals South East:,3162,36.5879,-120.7670,318,,
48797,2023 Panoche Creek Preserve - Corrals SE,2023 PCP SE MStyp5,66,2023 -PCP Corrals SE MC01,0,2023 PCP SE FS01,147,2023 PCP SE Hatchling,101,2023 PCP SE Nestling,254,2023 PCP SE FC06,127,4/29/2023,6/12/2023,pre,pre,pre,"before start, HBC present",ND,5/7/2023,ND,5/16/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 PCP SE sp30-02,0,2023 PCP SE sp31-01,18,2023 PCP SE sp32-02,56,2023 PCP SE Insect sp33-08,11,2023 PCP SE PTF01,24,,,,,,,2023 PCP SE Bullfrog CS,0,,Simple,,Successful,n/a,n/a,n/a,"This colony was discovered nesting in an atypical substrate after a worker inadvertently encountered the nests during corral activities. Nests were constructed only centimeters above ground in fiddleneck, cheeseweed, London rocket, and Chilean chess. Following discovery, access to the area was immediately restricted, and two ARUs were deployed. This ARU captured the highest number of recordings containing vocal detections and therefore serves as the core dataset for this site. Weak and irregular Hatchling Begging Call detections were present in the earliest recordings, indicating that hatching had occurred shortly before deployment and that Brooding had begun. This timing was confirmed during the in-person site visit. Despite nesting in atypical substrate and experiencing disturbance prior to discovery, recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.","This colony was discoverd nesting in unusual substrate when a worker entered the corral, accidentally disturbing them. Immediately upon discover accees to the colony was restricted and two ARUs were placed. This ARU was placed in the Southeast corner of the corral and captured the most robust detections. Extremely weak Hatchling Begging Calls from really young hatchlings were detected in the first recordings, indicating that hatching had begun shortly before deployment. This was confirmed by the in-person visit when deploying the ARU. Despite nesting in an unusual substrate and being accidentally disturbed prior to discovery, the colony was Successful and produced fledglings.","This is of the same colony as above, but the recordings are a little better.",NEED,400-500,"Fiddleneck, cheeseweed, London rocket, and Chilean chess",NEED,San Benito,Ben Teton,bteton@cnlm.org,,CNLM,2023 Panoche Creek Preserve - Corrals South East,,,3161,36.5875,-120.7650,320,,
48440,2023 Peterson Ranch Pond - East,2023 PRP E MS01,5,2023 PRP E MC01,0,2023 PRP E FS01,0,2023 PRP-E Hatchling,0,2023 PRP-E Nestling,0,2023 PRP E FC06,0,4/5/2023,7/28/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 PRP E Insect sp30-02,35,2023 PRP E Insect sp31-01,17,2023 PRP E Insect sp32-02,243,2023 PRP E Insect sp33-08,23,2023 PRP E PTF01,464,,,,,,,,,,No Colony,,No Colony,n/a,n/a,n/a,"Only a limited number of Male Song detections were recorded, and no detections of Female Chatter or Begging Calls were observed. These acoustic patterns indicate that breeding was not initiated during the recording period.",,"No birds detected. Did not do a manual analysis, but could it I deem it necessary and worth the 4 hours of work.",50m,No Colony,Bulrush,"Permanent pond rimmed with bulrushes and previously with patchy bulrush in the center of the pond, drowned out due to high water in Spring 2023. There is an island of willows at the east end of the main pond, and a shallower section of the pond to the east with bulrushes, cattails and other monocots. Just outside of the bulrushes is a broken line of willows, and outside of that, a swath of mulefat. The riparian area and pond are surrounded by dry rangeland of grasses and shrubs, notably California buckwheat. ",Los Angeles,Dave Goodward,davegoodward@earthlink.net,,San Bernardino,2023 Petersen Ranch Pond - East,,,8203,34.6324,-118.3180,1030,,
48461,2023 Peterson Ranch Pond - West,2023 PRP W MStyp5,2,2023 PRP W MC01,0,2023 PRP W FS01,0,2023 PRP-W Hatchling,0,2023 PRP-W Nestling,0,2023 PRP W FC06,0,4/5/2023,7/28/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 PRP W Insect sp30-02,38,2023 PRP W Insect sp31-01,9,2023 PRP W Insect sp32-02,145,2023 PRP W Insect sp33-08,35,2023 PRP W PTF01,354,,,,,,,,,,No Colony,,No Colony,n/a,n/a,n/a,"This deployment is considered a duplicate of the 2023 Peterson Ranch Pond – East deployment. Both ARUs were located on the same pond, and analysis of their recordings produced matching detection patterns, indicating that no breeding attempt was established.",,"No birds detected. Did not do a manual analysis, but could it I deem it necessary and worth the 4 hours of work.",50m,No Colony,Bulrush,"Permanent pond rimmed with bulrushes and previously with patchy bulrush in the center of the pond, drowned out due to high water in Spring 2023. There is an island of willows at the east end of the main pond, and a shallower section of the pond to the east with bulrushes, cattails and other monocots. Just outside of the bulrushes is a broken line of willows, and outside of that, a swath of mulefat. The riparian area and pond are surrounded by dry rangeland of grasses and shrubs, notably California buckwheat. ",Los Angeles,Dave Goodward,davegoodward@earthlink.net,,San Bernardino,2023 Petersen Ranch Pond - West,Dupe,2023 Peterson Ranch Pond - East:,8202,34.6331,-118.3200,1030,,
48475,2023 Plumas Arboga 2,2023 PA2 MStyp5,473,2023 PA2 MC01,79,2023 PA2 FS01,607,2023 PA2 Hatchling,156,2023 PA2 Nestling,444,2023 PA 6 FC06,381,5/26/2023,7/8/2023,pre,5/29/2023,5/26/2023,6/7/2023,9,6/17/2023,10,7/1/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 PA2 Insect sp30-02,0,2023 PA2 Insec sp31-01,0,2023 PA2 Insect sp32-02,0,2023 PA2 Insect sp33-08,0,2023 PA2 PTF01,0,2023 PA2 PTF,124,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"The ARU was placed during the transition from Settlement to Incubation. A complete sequence of breeding-stage vocalizations was detected, culminating in recordings containing Fledgling Begging Calls and subsequent Dispersal. The breeding attempt was therefore classified as Successful.",,The analysis was straightforward and all pattern matching jobs worked well. This had a clean Single Synchronous bout of breeding.,NEED,7000,Himalayan blackberry,Four large copses of Himalayan blackberries on private ranch.,Yuba,Robert Meese,,,Central Sacramento Valley,2023 Plumas Arboga 2,,,3089,39.0338,-121.5240,19,,Y
48437,2023 Plumas Arboga 8 - North Regional Pond,2023 PA8 MStyp5,1368,2023 PA8 MC01,264,2023 PA8 FS01,680,2023 PA8 Hatchling,93,2023 PA8 Nestling,613,2023 PA 8 FC06,399,4/21/2023,7/8/2023,pre,4/26/2023,4/24/2023,5/6/2023,10,5/15/2023,9,~5/25/2023,5/6/2023P,5/27/2023,6/3/2023,6/3/2023,6/15/2023,12,6/22/2023,7,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 PA8 Insect sp30-02,0,2023 PA8 Insect sp31-01,3,2023 PA8 Insect sp32-02,0,2023 PA8 NRP Insect sp33-08,96,2023 PA8 PTF01,66,2023 PA8 PTF,1270,,,,,2023 PA8 Bullfrog CS,0,,Sequential,,Partially Abandoned,Successful,n/a,n/a,The ARU was placed during Settlement. Two distinct breeding attempts spaced approximately one month apart indicate a Sequential colony structure. An ARI score of 0.378 indicates that the first breeding attempt was Partially Abandoned. Rainfall at the onset of Brooding was temporally coincident with this Partial Abandonment. Recordings containing Fledgling Begging Calls confirm that both breeding attempts produced fledglings.,,"Analysis shows clean results for a Replacement breeding form, with the second bout of breeding commencing after the first bout fledged. The first pulse was partially abandoned after a rainstorm on the 6-May, but a few birds did survive to fledging. The Replacement bout of breeding had a lot of Fledglings that were heard through the end of the recordings, indicating that it was very successful.",NEED,4000,Himalayan blackberry,Large copse of blackberries on ranch with many of them. ,Yuba,Robert Meese,,,Central Sacramento Valley,2023 Plumas Arboga 8,,,5611,39.0430,-121.5310,18,,Y
48764,2023 Rancho Jamul North Pond - fix lat lon,2023 Rancho Jamul NP MStyp5,35,2023 RJ NP MC01,439,2023 Rancho Jamul NP FS01,3,2023 RJ NP Hatchling,0,2023 RJ NP Nestling,31,2023 RJ NP FC06,14,3/27/2023,8/4/2023,4/22/2023,5/1/2023,5/4/2023,5/16/2023,15,5/26/2023,10,~6/4/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 RJ NP Insect sp30-02,0,2023 RJ NP Insect sp31-01,0,2023 RJ NP Insect sp32-02,9,2023 RJ NP Insect sp33-08,0,2023 RJ NP PTF01,276,,,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,"Despite substantial background vocalizations from Red-winged Blackbirds, Nestling Begging Call detections were followed by Fledgling Begging Call detections in the expected temporal order. A brief resurgence of Male Chorus and limited Female Chatter detections during Incubation suggested the possibility of an additional nesting attempt; however, the absence of appropriately spaced Begging Call detections indicates that no second breeding attempt was established. Recordings containing Fledgling Begging Calls from the primary attempt indicate that the breeding attempt was classified as Successful.",," The chorus that is heard is continuous, so either this is one of the cases where chorus doesn't stop, or what I am marking as chorus is really background and there wasn't really any chorus.",NEED,NEED,NEED,NEED,San Diego,"Tracie Nelson, John Martin","tracie.nelson@wildlife.ca.gov, xenozoon7@gmail.com",,Rancho Jamul,2023 Rancho Jamul - North Pond,,,9321,32.6846,-116.8560,236,,
48765,2023 Rancho Jamul Site 1 fix lat lon,2023 RJ S1 MS02,1185,2023 RJ Site 1 MC01,726,2023 RJS1 Female Redo 2,39,2023 RJ S1 Hatchling,1,2023 RJS1 Nestling redo,42,2023 RJS1 FC06 Redo,28,3/27/2023,8/3/2023,3/29/2023,4/20/2023,4/13/2023,4/25/2023,5,~5/6/2023,11,~6/2/2023,ND,5/26/2023,6/4/2023,#VALUE!,~6/18/2023,14,~7/10/2023,22,~7/22/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 RJ1 Insect sp30-02,153,2023 RJ1 Insect sp31-01,0,2023 RJ1 Insect sp32-02,0,2023 RJ1 Insect sp33-08,120,2023 RJ1 PTF01,606,,,,,,,,,Y,Sequential,,Successful,Successful,n/a,n/a,"Two temporally distinct breeding attempts were detected. During the first attempt, a secondary period of Male Chorus detections suggested a possible Addition; however, associated Female Chatter detections were sparse, and there was insufficient acoustic evidence to determine whether this represented a true breeding attempt or produced young. A second breeding attempt occurred approximately one month after the first, supporting classification of the colony as Sequential. There infrequent detections of Begging Calls for this second breeding attempt, and all dates for breeding stages are approximate. Recordings containing Fledgling Begging Calls were detected for both primary breeding attempts, and both were classified as Successful, while the intermediate potential Addition remains of Unknown outcome.",,"Numbers are low, so confidence on exact dates not great.",NEED,NEED,NEED,NEED,San Diego,"Tracie Nelson, John Martin","tracie.nelson@wildlife.ca.gov, xenozoon7@gmail.com",,Rancho Jamul,2023 Rancho Jamul - Site 1,,,9045,32.6846,-116.8560,236,,
48438,2023 Bridge St Pond,2023 BSP MStyp5,0,2023 BSP MC01,0,2023 BSP FS01,0,2023 BSP Hatchling,0,2023 BSP Nestling,0,2023 BSP FC06,0,4/18/2023,5/6/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 BSP Insect sp30-02,0,2023 BSP Insect sp31-01,0,2023 BSP Insect sp32-02,0,2023 BSP Insect sp33-08,0,2023 BSP PTF01,42,,,,,,,2023 BSP Bullfrog CS,0,,No TRBL,,No TRBL,n/a,n/a,n/a,,,"Recorder was placed at a site where there had been birds, however they had left by the time the unit was placed. This unit was later moved to another colony.",No Colony,No Colony,"Bulrush, cattails","To the west is private land, perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields. ",Riverside,"Dave Goodward, Stefan Awender","davegoodward@earthlink.net, Stefan.Awender@wildlife.ca.gov",,San Jacinto Wildlife Area,2023 San Jacinto Wildlife Area - Bridge St. Pond,,,1295,33.8625,-117.0720,434,,
48439,2023 West of Davis,2023 WoD MS typ5,277,2023 WoD MC01,21,2023 WoD FS01,82,2023 WoD Hatchling,0,2023 WoD Nestling,150,2023 WoD FC06,189,5/6/2023,6/29/2023,pre,pre,pre,"before start, HBC absent",ND,pre,ND,5/13/2023,ND,pre,5/9/2023,5/10/2023,5/22/2023,13,6/2/2023,11,6/10/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 WoD sp30-02,1,2023 WoD Insect sp31-01,339,2023 WoD Insect sp32-02,0,2023 WoD Insect sp33-08,5,2023 WoD PTF01,0,2023 WoD PTF,13,,,,,,,,Sequential,,Successful,Successful,n/a,n/a,"The ARU was deployed as fledglings from an initial breeding attempt were dispersing. A second breeding attempt followed shortly thereafter. Recordings containing Fledgling Begging Calls were detected for both attempts, confirming successful reproduction.",,"The recorder was placed just as p1 was feldging. MC2 was missed. P1 was much more substantial than P2. P1 is assumed successfully hatched due to ONC heard, typical robust calls before departure of ON, and the continued normal progression to P2. Approximate dates for P1 are estimated, with Inc Onset of ~4/11, Hatching Day 4/22, and Fledging day on or before 5/7/2023. Important notes from Dave in email ""I haven’t been following the tricolors nearly as much as last spring, so it was a big surprise to me to see hundreds of tricolors crossing Davis Road this afternoon.  I estimated 1,240 adults and about 300 fledglings, nesting along the San Jacinto River channel west of Davis, feeding lepidopterous larvae almost exclusively while I was there.  Foraging flocks were just across Davis all the way out to the Burrowing Owl fields.  There is a second nesting attempt underway there as well.  Dave""",NEED,1250,Cattails,"San Jacinto Wildlife Area, west side of Davis Road. Stored grains present within foraging distance of a nearby dairy.",Riverside,"Dave Goodward, Stefan Awender","davegoodward@earthlink.net, Stefan.Awender@wildlife.ca.gov",,San Jacinto Wildlife Area,2023 San Jacinto Wildlife Area West of Davis,,,3877,33.8493,-117.1290,434,,Y
48464,2023 San Luis NWR - West Bank Creek,2023 SL WBC MStyp5,383,2023 SLNWR WBC MC01,104,2023 SL WBC FS01,180,2023 SL WBC Hatchling,0,2023 SL WBC Nestling,18,2023 SL WBC FC06,6,5/26/2023,7/12/2023,pre,5/29/2023,6/3/2023,6/15/2023,17,~6/24/2023,9,~7/5/2023,6/5/2023P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 SLNWR WBC Insect sp30-02,33,2023 SLNWR WBC Insect sp31-01,35,2023 SLNWR WBC Insect sp32-02,96,2023 SLNWR WBC Insect sp33-08,60,2023 SLNWR WBC PTF01,0,2023 SL NWR WBC PTF,0,,,,,,,,Simple,,Partially Abandoned,n/a,n/a,n/a,"The ARU was deployed during Settlement, and Female Chatter detections were recorded followed by a small fraction of detections of Nestling and Fledgling Begging Calls. Although recordings containing Fledgling Begging Calls indicate that some nests successfully produced fledglings, the ARI score for this breeding attempt was 0.165, corresponding to classification as Partially Abandoned. In-person visits corroborated Partial Abandonment and documented deterioration of the nesting substrate (milk thistle and mustard), which may have contributed to this outcome.",,"What started out as a strong MC ended up with very few birds completng the cycle. That said, there is at least one fledgling that survived. Because of the fact that most birds left, and there were only a handful to 1 nest, the number of vocalizations of the young make the numbers here only approximate.",75m,500,"Milk thistle, mustard","A patch of milk thistle and mustard growing along the levee sides, near the edge of a dry seasonal wetland. An earthen canal near the levee had water from May through at least 22 June. The ARU was placed south of the colony near the canal. ",Merced,Fumika Takahashi,fumika_takahashi@fws.gov,,Merced and San Luis NWR,2023 San Luis NWR - Fiddleneck Lake,,,3376,37.2663,-120.8340,24,,Y
48447,2023 San Luis Bear Creek,2023 SL BC MStyp5,357,2023 SLNWR BC MC01,131,2023 SL BC FS01,472,2023 SL BC Hatchling,14,2023 SL BC Nestling,156,2023 SL BC FC06,28,6/16/2023,7/24/2023,pre,6/21/2023,6/23/2023,7/5/2023,14,7/15/2023,10,post,6/20/2023P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 SLNWR BC Insect sp30-02,0,2023 SLNWR BC Insect sp31-01,188,2023 SLNWR BC Insect sp32-02,455,2023 SLNWR BC Insect sp33-08,391,2023 SLNWR BC PTF01,0,2023 SL NWR BC PTF,0,,,,,,,,Simple,,Partially Abandoned,n/a,n/a,n/a,"The ARU was deployed during Settlement. A small fraction of early recordings contained Fledgling Begging Call detections, indicating that fledglings were either traveling with adults or that a breeding attempt occurred prior to ARU placement. Incubation began in June, and recordings containing Fledgling Begging Calls in mid-July indicate that young successfully left the nest. The ARI score for this breeding attempt was 0.319, corresponding to classification as Partially Abandoned. In-person visits documented that birds nesting in milk thistle abandoned due to desiccation and collapse of the substrate, whereas birds nesting in willows successfully fledged young.",,"Colony was on the smaller side. Because of this, I used >=3 present to determine hatch day.",30m,200-900,Willows,"Willows and buttonbush were present in the river channel, with milk thistle along the levee. The ARU was placed beneath willow cover in saturated mud near the water.",Merced,Fumika Takahashi,fumika_takahashi@fws.gov,,Merced and San Luis NWR,2023 San Luis NWR - Tanager Slough,,,2735,37.2393,-120.8210,26,,Y
